portfolio_record_id,borrower_id,borrower_type,product_id,operating_country,sector_name,nace_code,loan_purpose,outstanding_balance_eur_millions,remaining_maturity_years,collateral_type,days_past_due,pd_12_month_pct,lgd_pct,esg_data_coverage,transition_risk_band,physical_risk_band
PORT-CL-001,CUS-RET-0001,retail,PRD-CONSUMER-LOAN,IE,not_applicable,not_applicable,home_furnishing,800,3.2,unsecured,0,2.4,78,not_applicable,not_applicable,not_applicable
PORT-CL-002,CUS-RET-0002,retail,PRD-CONSUMER-LOAN,IE,not_applicable,not_applicable,vehicle_purchase,700,2.8,unsecured,9,3.1,78,not_applicable,not_applicable,not_applicable
PORT-CL-003,CUS-RET-0003,retail,PRD-CONSUMER-LOAN,DE,not_applicable,not_applicable,debt_consolidation,650,3.6,unsecured,0,2.7,78,not_applicable,not_applicable,not_applicable
PORT-CL-004,CUS-RET-0004,retail,PRD-CONSUMER-LOAN,DE,not_applicable,not_applicable,education,600,2.1,unsecured,0,1.9,78,not_applicable,not_applicable,not_applicable
PORT-CL-005,CUS-RET-0005,retail,PRD-CONSUMER-LOAN,IE,not_applicable,not_applicable,home_furnishing,550,4.0,unsecured,17,4.2,78,not_applicable,not_applicable,not_applicable
PORT-CL-006,CUS-RET-0006,retail,PRD-CONSUMER-LOAN,DE,not_applicable,not_applicable,vehicle_purchase,500,3.4,unsecured,0,2.2,78,not_applicable,not_applicable,not_applicable
PORT-CL-007,CUS-RET-0007,retail,PRD-CONSUMER-LOAN,IE,not_applicable,not_applicable,medical_expense,450,1.7,unsecured,0,2.8,78,not_applicable,not_applicable,not_applicable
PORT-CL-008,CUS-RET-0008,retail,PRD-CONSUMER-LOAN,DE,not_applicable,not_applicable,debt_consolidation,450,3.9,unsecured,31,5.1,78,not_applicable,not_applicable,not_applicable
PORT-GH-001,CUS-RET-0101,retail,PRD-GREEN-HOME-LOAN,IE,not_applicable,not_applicable,insulation_upgrade,300,4.2,unsecured,0,1.8,75,partial,low,medium
PORT-GH-002,CUS-RET-0102,retail,PRD-GREEN-HOME-LOAN,DE,not_applicable,not_applicable,heat_pump_installation,250,4.6,unsecured,0,1.7,75,partial,low,medium
PORT-GH-003,CUS-RET-0103,retail,PRD-GREEN-HOME-LOAN,IE,not_applicable,not_applicable,solar_installation,200,3.7,unsecured,5,2.2,75,partial,low,low
PORT-GH-004,CUS-RET-0104,retail,PRD-GREEN-HOME-LOAN,DE,not_applicable,not_applicable,window_replacement,180,2.5,unsecured,0,2.0,75,partial,low,medium
PORT-GH-005,CUS-RET-0105,retail,PRD-GREEN-HOME-LOAN,IE,not_applicable,not_applicable,energy_efficiency_upgrade,170,4.1,unsecured,0,2.4,75,partial,low,medium
PORT-SME-001,CUS-SME-0001,sme,PRD-SME-WORKING-CAPITAL,IE,light_manufacturing,C25,factory_equipment,450,3.8,all_assets_debenture,0,2.9,42,partial,high,medium
PORT-SME-002,CUS-SME-0002,sme,PRD-SME-WORKING-CAPITAL,IE,road_freight_transport,H49,working_capital,380,2.4,all_assets_debenture,0,3.8,45,partial,high,medium
PORT-SME-003,CUS-SME-0003,sme,PRD-SME-WORKING-CAPITAL,NL,food_service_activities,I56,seasonal_inventory,320,1.6,personal_guarantee,12,4.6,52,limited,medium,medium
PORT-SME-004,CUS-SME-0004,sme,PRD-SME-WORKING-CAPITAL,BE,retail_trade,G47,inventory_finance,300,2.0,all_assets_debenture,0,3.4,48,limited,medium,low
PORT-SME-005,CUS-SME-0005,sme,PRD-SME-WORKING-CAPITAL,IE,construction,F41,working_capital,260,2.7,all_assets_debenture,18,5.2,50,partial,high,medium
PORT-SME-006,CUS-SME-0006,sme,PRD-SME-WORKING-CAPITAL,IE,professional_services,M69,working_capital,220,1.9,personal_guarantee,0,2.1,44,full,low,low
PORT-SME-007,CUS-SME-0007,sme,PRD-SME-WORKING-CAPITAL,NL,accommodation,I55,refurbishment,180,3.1,property_charge,0,3.6,40,limited,medium,high
PORT-SME-008,CUS-SME-0008,sme,PRD-SME-WORKING-CAPITAL,BE,sector_unclassified,unknown,working_capital,110,1.4,personal_guarantee,0,4.0,55,missing,unknown,unknown
PORT-SME-009,CUS-SME-0009,sme,PRD-SME-WORKING-CAPITAL,IE,agriculture,A01,seasonal_working_capital,80,2.6,all_assets_debenture,27,6.1,48,limited,medium,high
