portfolio_record_id,assessment_as_of_date,assessment_scope,esg_screening_status,exclusion_screening_result,sector_data_quality,ghg_emissions_data_status,transition_plan_evidence,physical_risk_data_source,overall_esg_risk_band,assessment_outcome,required_follow_up
PORT-SME-001,2026-06-30,credit_annual_review,complete,pass,validated_nace,estimated_sector_proxy,not_provided,external_hazard_model,high,enhanced_review_required,request_transition_information_at_next_annual_review
PORT-SME-002,2026-06-30,credit_annual_review,complete,pass,validated_nace,estimated_sector_proxy,not_provided,external_hazard_model,high,enhanced_review_required,assess_fleet_transition_and_fuel_dependency
PORT-SME-003,2026-06-30,credit_annual_review,partial,pass,broad_nace,missing,not_provided,external_hazard_model,medium,insufficient_evidence,obtain_nace_and_energy_cost_information
PORT-SME-004,2026-06-30,credit_annual_review,partial,pass,broad_nace,estimated_sector_proxy,not_provided,external_hazard_model,medium,monitor,improve_sector_classification_at_next_credit_event
PORT-SME-005,2026-06-30,credit_annual_review,complete,pass,validated_nace,estimated_sector_proxy,not_provided,external_hazard_model,high,enhanced_review_required,assess_project_location_and_supplier_exposure
PORT-SME-006,2026-06-30,credit_annual_review,complete,pass,validated_nace,estimated_sector_proxy,not_provided,external_hazard_model,low,monitor,none
PORT-SME-007,2026-06-30,credit_annual_review,partial,pass,broad_nace,missing,not_provided,external_hazard_model,medium,insufficient_evidence,obtain_property_location_and_insurance_information
PORT-SME-008,2026-06-30,credit_annual_review,incomplete,not_assessed,missing_nace,missing,not_provided,not_available,unknown,insufficient_evidence,mandatory_nace_remediation_before_next_renewal
PORT-SME-009,2026-06-30,credit_annual_review,partial,pass,validated_nace,estimated_sector_proxy,not_provided,external_hazard_model,high,enhanced_review_required,assess_flood_and_drought_exposure
PORT-GH-001,2026-06-30,product_portfolio_review,partial,not_applicable,not_applicable,not_applicable,not_applicable,property_location_proxy,low,monitor,retain_home_improvement_purpose_evidence
PORT-GH-002,2026-06-30,product_portfolio_review,partial,not_applicable,not_applicable,not_applicable,not_applicable,property_location_proxy,low,monitor,retain_home_improvement_purpose_evidence
PORT-GH-003,2026-06-30,product_portfolio_review,partial,not_applicable,not_applicable,not_applicable,not_applicable,property_location_proxy,low,monitor,retain_home_improvement_purpose_evidence
PORT-GH-004,2026-06-30,product_portfolio_review,partial,not_applicable,not_applicable,not_applicable,not_applicable,property_location_proxy,low,monitor,retain_home_improvement_purpose_evidence
PORT-GH-005,2026-06-30,product_portfolio_review,partial,not_applicable,not_applicable,not_applicable,not_applicable,property_location_proxy,low,monitor,retain_home_improvement_purpose_evidence
