portfolio_record_id,borrower_type,product_id,operating_country,sector_name,nace_code,loan_purpose,outstanding_balance_eur_millions,remaining_maturity_years,collateral_type,pd_12_month_pct,lgd_pct,esg_data_coverage,record_grain,snapshot_date,synthetic,borrower_count
PORT-CL-001,retail,PRD-CONSUMER-LOAN,IE,not_applicable,not_applicable,home_furnishing,800,3.2,unsecured,2.4,78.0,not_applicable,portfolio_cohort,2026-06-30,true,80000
PORT-CL-002,retail,PRD-CONSUMER-LOAN,IE,not_applicable,not_applicable,vehicle_purchase,700,2.8,unsecured,3.1,78.0,not_applicable,portfolio_cohort,2026-06-30,true,70000
PORT-CL-003,retail,PRD-CONSUMER-LOAN,DE,not_applicable,not_applicable,debt_consolidation,650,3.6,unsecured,2.7,78.0,not_applicable,portfolio_cohort,2026-06-30,true,65000
PORT-CL-004,retail,PRD-CONSUMER-LOAN,DE,not_applicable,not_applicable,education,600,2.1,unsecured,1.9,78.0,not_applicable,portfolio_cohort,2026-06-30,true,60000
PORT-CL-005,retail,PRD-CONSUMER-LOAN,IE,not_applicable,not_applicable,home_furnishing,550,4.0,unsecured,4.2,78.0,not_applicable,portfolio_cohort,2026-06-30,true,55000
PORT-CL-006,retail,PRD-CONSUMER-LOAN,DE,not_applicable,not_applicable,vehicle_purchase,500,3.4,unsecured,2.2,78.0,not_applicable,portfolio_cohort,2026-06-30,true,50000
PORT-CL-007,retail,PRD-CONSUMER-LOAN,IE,not_applicable,not_applicable,medical_expense,450,1.7,unsecured,2.8,78.0,not_applicable,portfolio_cohort,2026-06-30,true,45000
PORT-CL-008,retail,PRD-CONSUMER-LOAN,DE,not_applicable,not_applicable,debt_consolidation,450,3.9,unsecured,5.1,78.0,not_applicable,portfolio_cohort,2026-06-30,true,45000
PORT-GH-001,retail,PRD-GREEN-HOME-LOAN,IE,not_applicable,not_applicable,insulation_upgrade,300,4.2,unsecured,1.8,75.0,partial,portfolio_cohort,2026-06-30,true,30000
PORT-GH-002,retail,PRD-GREEN-HOME-LOAN,DE,not_applicable,not_applicable,heat_pump_installation,250,4.6,unsecured,1.7,75.0,partial,portfolio_cohort,2026-06-30,true,25000
PORT-GH-003,retail,PRD-GREEN-HOME-LOAN,IE,not_applicable,not_applicable,solar_installation,200,3.7,unsecured,2.2,75.0,partial,portfolio_cohort,2026-06-30,true,20000
PORT-GH-004,retail,PRD-GREEN-HOME-LOAN,DE,not_applicable,not_applicable,window_replacement,180,2.5,unsecured,2.0,75.0,partial,portfolio_cohort,2026-06-30,true,18000
PORT-GH-005,retail,PRD-GREEN-HOME-LOAN,IE,not_applicable,not_applicable,energy_efficiency_upgrade,170,4.1,unsecured,2.4,75.0,partial,portfolio_cohort,2026-06-30,true,17000
PORT-SME-001,sme,PRD-SME-WORKING-CAPITAL,IE,light_manufacturing,C25,factory_equipment,450,3.8,all_assets_debenture,2.9,42.0,partial,portfolio_cohort,2026-06-30,true,1800
PORT-SME-002,sme,PRD-SME-WORKING-CAPITAL,IE,road_freight_transport,H49,working_capital,380,2.4,all_assets_debenture,3.8,45.0,partial,portfolio_cohort,2026-06-30,true,1600
PORT-SME-003,sme,PRD-SME-WORKING-CAPITAL,NL,food_service_activities,I56,seasonal_inventory,320,1.6,personal_guarantee,4.6,52.0,limited,portfolio_cohort,2026-06-30,true,600
PORT-SME-004,sme,PRD-SME-WORKING-CAPITAL,BE,retail_trade,G47,inventory_finance,300,2.0,all_assets_debenture,3.4,48.0,limited,portfolio_cohort,2026-06-30,true,600
PORT-SME-005,sme,PRD-SME-WORKING-CAPITAL,IE,construction,F41,working_capital,260,2.7,all_assets_debenture,5.2,50.0,partial,portfolio_cohort,2026-06-30,true,1400
PORT-SME-006,sme,PRD-SME-WORKING-CAPITAL,IE,professional_services,M69,working_capital,220,1.9,personal_guarantee,2.1,44.0,full,portfolio_cohort,2026-06-30,true,1800
PORT-SME-007,sme,PRD-SME-WORKING-CAPITAL,NL,accommodation,I55,refurbishment,180,3.1,property_charge,3.6,40.0,limited,portfolio_cohort,2026-06-30,true,500
PORT-SME-008,sme,PRD-SME-WORKING-CAPITAL,BE,sector_unclassified,unknown,working_capital,110,1.4,personal_guarantee,4.0,55.0,missing,portfolio_cohort,2026-06-30,true,300
PORT-SME-009,sme,PRD-SME-WORKING-CAPITAL,IE,agriculture,A01,seasonal_working_capital,80,2.6,all_assets_debenture,6.1,48.0,limited,portfolio_cohort,2026-06-30,true,1400
